Title,Category,Image,Listed Price,Minimum Profitable Price
Gopro ,accessories,https://m.media-amazon.com/images/I/6139nZquCaL._AC_SL1200_.jpg,83.33,68.32
Aldo Laptop Bag,accessories,https://media.aldoshoes.com/v3/product/tet/410-002-009/tet_blue_410-002-009_main_sq_gy_1000x1000.jpg,183.32,109.83
Women's Handbag,accessories,https://i5.walmartimages.com/asr/adaa1c59-123f-4c44-a201-17a55063df53.84c756d25fb5605653a299c99659a570.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,8.33,5.42
Korean Earrings,accessories,https://m.media-amazon.com/images/I/41oePDUujiL._AC_UL320_.jpg,6.65,4.15
Multicolor Mala,accessories,https://m.media-amazon.com/images/I/41+-uvOzpFL._AC_UL320_.jpg,38.33,30.83
Women's Handbag,accessories,https://m.media-amazon.com/images/I/61G-2jPzxeL._AC_UL320_.jpg,8.33,5.42
Caprese Tiffany,accessories,https://m.media-amazon.com/images/I/51UudFx1SML._AC_UL320_.jpg,58.32,29.42
Mark jacobs Tote Bag,accessories,https://cdn.media.amplience.net/i/Marc_Jacobs/MJI_M0017027_263_F8F8F8_1-1_MAIN?fmt=auto&sm=aspect&aspect=6:5&w=708&qlt=68&img404=NOIMAGEMEDIUM_1-1&unsharp=0%2C1%2C1%2C20,300,250
Aldo Agrendadia,accessories,https://m.media-amazon.com/images/I/81j6UHlzRbL._AC_UL320_.jpg,116.65,68.18
Reebok Men's Shoes,bags & luggage,https://reebok.ca/cdn/shop/products/100034259B2240_0a05f406-177f-4c99-a1b5-cd448d27aa18.jpg?v=1692724467,22.5,17.5
Laptop Backpack,bags & luggage,https://m.media-amazon.com/images/I/314nr0D4uzL._AC_UL320_.jpg,10.83,7.5
Sony Headphones,men's shoes,"https://hips.hearstapps.com/hmg-prod/images/0317-headphones-1584470818.png?crop=0.5xw:1xh;center,top&resize=640:*",450,399
Rs-Z Bp(Size 9),men's shoes,https://m.media-amazon.com/images/I/51u1lkaawLL._AC_UL320_.jpg,166.65,116.65
Sneaker Lace-Up,men's shoes,https://m.media-amazon.com/images/I/61TfC7j8POL._AC_UL320_.jpg,41.67,24.17
Men Casual Shoe,men's shoes,https://m.media-amazon.com/images/I/61uuV+5WTuL._AC_UL320_.jpg,8.32,4.98
Nike Casual Shoe,men's shoes,https://m.media-amazon.com/images/I/71WgosSFIfL._AC_UL320_.jpg,28.32,16.11
Black Cat Men's,men's shoes,https://m.media-amazon.com/images/I/61XdcY+UDgL._AC_UL320_.jpg,16.65,14.42
117Formal Shoes,men's shoes,https://m.media-amazon.com/images/I/710vOeF9nDL._AC_UL320_.jpg,16.65,9.98
Navy Blue Shoes,men's shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/31zdF-UoeoL._AC_UL320_.jpg,9.98,7.48
Leather Sandals,men's shoes,https://m.media-amazon.com/images/I/318DpaY87eL._AC_UL320_.jpg,21.65,12.48
Nike Men Shorts,sports & fitness,https://m.media-amazon.com/images/I/41NamWhklkL._AC_UL320_.jpg,29.92,15.48
Puma Unisex Cap,sports & fitness,https://m.media-amazon.com/images/I/91wZp++pizL._AC_UL320_.jpg,16.65,12.65
Adidas Yoga Mat,sports & fitness,https://m.media-amazon.com/images/I/516Uj5MomXL.jpg,46.65,34.98
Max Men Joggers,sports & fitness,https://m.media-amazon.com/images/I/61fA1NYLVGL._AC_UL320_.jpg,11.65,10.48
Nike Men Shorts,sports & fitness,https://m.media-amazon.com/images/I/510I4oDsZYL._AC_UL320_.jpg,24.92,12.98
Puma Unisex Cap,sports & fitness,https://m.media-amazon.com/images/I/91wZp++pizL._AC_UL320_.jpg,16.65,12.65
Nike Men Shorts 2,sports & fitness,https://m.media-amazon.com/images/I/51HC2-jysNL._AC_UL320_.jpg,39.92,21.98
Puma Unisex Cap,sports & fitness,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/024357/01/fnd/PNA",16.65,13.32
Puma Unisex Cap,sports & fitness,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/859903/02/fnd/PNA",11.65,10.48
Max Boys Jacket,kids' fashion,https://m.media-amazon.com/images/I/612isKiehmL._AC_UL320_.jpg,5.82,4.65
Baby Girl Dress,kids' fashion,https://m.media-amazon.com/images/I/31vr8FqZeKL._AC_UL320_.jpg,14.98,13.32
Max Boys Tshirt,kids' fashion,https://m.media-amazon.com/images/I/81KerlHklXS._AC_UL320_.jpg,3.32,2.32
School Uniforms,kids' fashion,https://m.media-amazon.com/images/I/41+b0ExO9JL._AC_UL320_.jpg,16.65,11.48
Ida Backpack,kids' fashion,https://m.media-amazon.com/images/I/61vj1PJSFKL._AC_UL320_.jpg,149.98,104.98
Emilia Backpack,kids' fashion,https://m.media-amazon.com/images/I/51XSPz8b2CL._AC_UL320_.jpg,149.98,91.65
Camera + Gimbal,tv audio & cameras,"https://m.media-amazon.com/images/I/51uLUla5FAL._AC_UF894,1000_QL80_.jpg",1549.83,1099.82
