Title,Listed Price,Minimum Profitable Price
Hilka 9 Drawer Tool Chest,234.90,164.43
Ravensburger Labyrinth,26.10,18.27
Harvest Life PS4 Game,34.78,24.35
Harvest Life PS5 Game,43.48,30.44
A500 The Gamepad Pre-Order,52.18,36.53
A500 The Mouse Pre-Order,52.18,36.53
NHL 22 PS4 Game,74.80,52.36
NHL 22 Xbox One Game,74.80,52.36
NHL 22 Xbox Series X Game,78.28,54.80
Hell Let Loose PS5 Game,60.88,42.62
Catit PIXI Smart Feeder,173.98,121.79
Jasmine Cardboard Cut-out,60.88,42.62
Paingone Easy TENS Machine,60.81,42.57
India: The Cook Book,34.80,24.36
Borderlands 3 PS4 Game,16.51,11.56
Philips Hue Motion Sensor,60.88,42.62
Rio Deluxe Steam Foot Spa,243.58,170.51
Hype A5 Notebook & Pen Set,17.40,12.18
Hype Stationery Set,17.40,12.18
DJI Mavic 3 Drone,3269.46,2288.62
Argos Home Cemetery Kit,13.05,9.14
Pinch of Nom Recipe Book,17.40,12.18
JML Nicer Dicer Quick,17.40,12.18
Reebok Jet 300+ Treadmill,1913.98,1339.79
LG Magic Remote Control,43.50,30.45
Mega Bloks 100 Piece Tube,17.40,12.18
X-Rocker VR Gaming Stool,109.60,76.72
Pyrex Origin 18cm Saucepan,48.72,34.10
Paingone Pen TENS Machine,60.81,42.57
Tassimo Descaling Tablets,10.42,7.30
WD Blue 1TB PC Hard Drive,95.68,66.98
Zinc Reg Skateboard,29.58,20.71
Gang Beasts PS4 Game,31.30,21.91
YXSH A1 Art Portfolio,38.28,26.80
Yale Sync Home Alarm Kit,375.82,263.08
Silentnight Airmax Pillow,20.88,14.62
Phlat Ball,17.40,12.18
Nextbase 32GB Go Pack,34.78,24.35
UNO Card Game,13.92,9.74
Dumbo DVD,6.96,4.87
Challenge Car Polisher,43.50,30.45
adidas Football Pump,26.10,18.27
Mesh Dog Guard,34.80,24.36
Deluxe Motorcycle Cover,43.50,30.45
Cristal DSLR Case - Black,38.26,26.78
TCP Smart Wi-Fi Plug,22.60,15.82
Paingone Plus TENS Machine,86.91,60.84
Grid PS4 Game,31.30,21.91
Disney Frozen 2 Olaf Cushion,7.10,4.97
Razor S Sport Scooter - Blue,45.50,31.85
